planet_name,planet_status,orbital_period,semi_major_axis,star_name,mag_v,star_teff,star_distance,luminosity,referenced_planet,harmonic_ratio,habitable_zone_status,HZ_distance_recent_venus,HZ_distance_runaway_greenhouse,HZ_distance_maximum_greenhouse,HZ_distance_early_mars
HD 100546 d,Candidate,3286.203561,7.8,HD 100546,6.7,11000.0,110.0,21.61649966,,nan,Not in HZ,1.2508578739237933e-16,9.803628791668651e-17,6.028142803093166e-17,5.708233227854696e-17
HD 100546 e,Candidate,3286.203561,20.5,HD 100546,6.7,11000.0,110.0,21.61649966,,nan,Not in HZ,1.2508578739237933e-16,9.803628791668651e-17,6.028142803093166e-17,5.708233227854696e-17
HD 100546 f,Candidate,3286.203561,15.0,HD 100546,6.7,11000.0,110.0,21.61649966,,nan,Not in HZ,1.2508578739237933e-16,9.803628791668651e-17,6.028142803093166e-17,5.708233227854696e-17
HD 100546 g,Candidate,3286.203561,110.0,HD 100546,6.7,11000.0,110.0,21.61649966,,nan,Not in HZ,1.2508578739237933e-16,9.803628791668651e-17,6.028142803093166e-17,5.708233227854696e-17
HD 10180 b,Candidate,1.17768,0.02225,HD 10180,7.33,5911.0,39.4,1.55236,,nan,Not in HZ,3.6266851549084884,2.8712469500546236,1.6336751057347736,1.5488729686105354
HD 10180 i,Candidate,9.655,0.0904,HD 10180,7.33,5911.0,39.4,1.55236,,nan,Not in HZ,3.6266851549084884,2.8712469500546236,1.6336751057347736,1.5488729686105354
HD 10180 j,Candidate,67.55,0.33,HD 10180,7.33,5911.0,39.4,1.55236,,nan,Optimistic HZ,3.6266851549084884,2.8712469500546236,1.6336751057347736,1.5488729686105354
HD 1461 d,Candidate,5000.0,5.0,HD 1461,6.64,5765.0,23.4,1.033788543,,nan,Not in HZ,3.421257602180833,2.7087334809340646,1.5354791691344356,1.4557738602138366
HD 1461 e,Candidate,454.0,1.165,HD 1461,6.64,5765.0,23.4,1.033788543,,nan,Not in HZ,3.421257602180833,2.7087334809340646,1.5354791691344356,1.4557738602138366
HD 163296 b,Candidate,3286.203561,46.0,HD 163296,6.85,5688.237937,122.0,23.15899246,,nan,Not in HZ,3.458954671765339,2.7386454350962235,1.5491691360959032,1.4687532810991974
HD 163296 c,Candidate,3286.203561,54.0,HD 163296,6.85,5688.237937,122.0,23.15899246,,nan,Not in HZ,3.458954671765339,2.7386454350962235,1.5491691360959032,1.4687532810991974
HD 163296 d,Candidate,3286.203561,84.5,HD 163296,6.85,5688.237937,122.0,23.15899246,,nan,Not in HZ,3.458954671765339,2.7386454350962235,1.5491691360959032,1.4687532810991974
HD 163296 e,Candidate,3286.203561,137.0,HD 163296,6.85,5688.237937,122.0,23.15899246,,nan,Not in HZ,3.458954671765339,2.7386454350962235,1.5491691360959032,1.4687532810991974
HD 30177 Ad,Candidate,20.427938,0.1493,HD 30177 A,8.41,5580.0,54.7,1.106559198,,nan,Not in HZ,3.8081702047529333,3.015240570618537,1.7002763361642133,1.612017191694431
HD 30177 Ae,Candidate,59.992133,0.30618,HD 30177 A,8.41,5580.0,54.7,1.106559198,,nan,Not in HZ,3.8081702047529333,3.015240570618537,1.7002763361642133,1.612017191694431
