planet_name,planet_status,orbital_period,semi_major_axis,star_name,mag_v,star_teff,star_distance,luminosity
K04084.03,Candidate,8.1961838,0.0789,2MASS J19041258+3905457,9.885491525,5375,302.4853135,8.693846668
K04136.01,Candidate,2.41749255,0.0346,2MASS J18471756+4248402,9.885491525,5770,302.4853135,8.693846668
K04136.02,Candidate,4.03358484,0.0487,2MASS J18471756+4248402,9.885491525,5770,302.4853135,8.693846668
K04149.01,Candidate,9.54698999,0.0953,2MASS J19475090+4815230,9.885491525,6271,302.4853135,8.693846668
K04149.02,Candidate,14.7087355,0.1271,2MASS J19475090+4815230,9.885491525,6271,302.4853135,8.693846668
K04287.01,Candidate,13.12307232,0.1155,2MASS J19214999+4839409,9.885491525,6344,302.4853135,8.693846668
K04287.02,Candidate,9.6184,0.0939,2MASS J19214999+4839409,9.885491525,6344,302.4853135,8.693846668
K04421.01,Candidate,4.72697256,0.0548,2MASS J19362997+4640224,9.885491525,6183,302.4853135,8.693846668
K04421.02,Candidate,6.5596176,0.0682,2MASS J19362997+4640224,9.885491525,6183,302.4853135,8.693846668
K04435.01,Candidate,10.8614955,0.0982,2MASS J18474936+4415415,9.885491525,6328,302.4853135,8.693846668
K04435.02,Candidate,17.8693759,0.1369,2MASS J18474936+4415415,9.885491525,6328,302.4853135,8.693846668
K04504.01,Candidate,4.13034253,0.048,2MASS J19251058+4154462,9.885491525,5487,302.4853135,8.693846668
K04504.02,Candidate,8.11935247,0.0754,2MASS J19251058+4154462,9.885491525,5487,302.4853135,8.693846668
K04526.01,Candidate,30.539288,0.1967,2MASS J19435254+3852018,9.885491525,6148,302.4853135,8.693846668
K04526.02,Candidate,11.8186611,0.1044,2MASS J19435254+3852018,9.885491525,6148,302.4853135,8.693846668
K04541.01,Candidate,8.52917865,0.0806,2MASS J18530028+4043231,9.885491525,5915,302.4853135,8.693846668
K04541.02,Candidate,17.2360532,0.1288,2MASS J18530028+4043231,9.885491525,5915,302.4853135,8.693846668
K04567.01,Candidate,14.7441194,0.1182,2MASS J20061507+4414254,9.885491525,6146,302.4853135,8.693846668
K04567.02,Candidate,4.6725405,0.0549,2MASS J20061507+4414254,9.885491525,6146,302.4853135,8.693846668
K04647.01,Candidate,37.9046277,0.2241,2MASS J19210223+4653064,9.885491525,5303,302.4853135,8.693846668
K04647.02,Candidate,12.0086886,0.1041,2MASS J19210223+4653064,9.885491525,5303,302.4853135,8.693846668
K04716.01,Candidate,5.89435231,0.0631,2MASS J19132276+4901189,9.885491525,6177,302.4853135,8.693846668
K04716.02,Candidate,12.26708306,16.13423714,2MASS J19132276+4901189,9.885491525,6177,302.4853135,8.693846668
K04782.01,Candidate,7.4213444,0.0758,2MASS J19514768+4515181,9.885491525,6032,302.4853135,8.693846668
K04782.02,Candidate,4.2925774,0.0527,2MASS J19514768+4515181,9.885491525,6032,302.4853135,8.693846668
K04838.01,Candidate,13.2971131,0.0947,2MASS J18570445+4411511,9.885491525,4349,302.4853135,8.693846668
K04838.02,Candidate,6.33355378,0.0578,2MASS J18570445+4411511,9.885491525,4349,302.4853135,8.693846668
K04871.01,Candidate,4.08194098,0.051,2MASS J19140696+4216345,9.885491525,6532,302.4853135,8.693846668
K04871.02,Candidate,5.522479,0.0624,2MASS J19140696+4216345,9.885491525,6532,302.4853135,8.693846668
K04895.01,Candidate,12.460222,0.1021,2MASS J19420358+5112134,9.885491525,5861,302.4853135,8.693846668
K04895.02,Candidate,47.5571352,0.2494,2MASS J19420358+5112134,9.885491525,5861,302.4853135,8.693846668
K04913.01,Candidate,6.78788803,0.0761,2MASS J18544291+4105487,9.885491525,6543,302.4853135,8.693846668
K04913.02,Candidate,8.97374036,0.0917,2MASS J18544291+4105487,9.885491525,6543,302.4853135,8.693846668
K06120.01,Candidate,90.096729,0.3994,2MASS J19214806+3951432,9.885491525,6123,302.4853135,8.693846668
K06120.02,Candidate,205.41415,0.6918,2MASS J19214806+3951432,9.885491525,6123,302.4853135,8.693846668
K06132.01,Candidate,33.3199167,0.2238,2MASS J19381389+4051018,9.885491525,6266,302.4853135,8.693846668
K06132.03,Candidate,11.8674823,0.1124,2MASS J19381389+4051018,9.885491525,6266,302.4853135,8.693846668
K06178.01,Candidate,13.0327791,0.1109,2MASS J19100762+4418288,9.885491525,6122,302.4853135,8.693846668
K06178.02,Candidate,33.814176,0.2095,2MASS J19100762+4418288,9.885491525,6122,302.4853135,8.693846668
K06182.01,Candidate,19.2401414,0.1283,2MASS J20033659+4436453,9.885491525,5243,302.4853135,8.693846668
K06182.02,Candidate,28.684308,0.1674,2MASS J20033659+4436453,9.885491525,5243,302.4853135,8.693846668
K06191.01,Candidate,9.7044192,0.0917,2MASS J19333677+4529377,9.885491525,6258,302.4853135,8.693846668
K06191.02,Candidate,12.7712843,0.1101,2MASS J19333677+4529377,9.885491525,6258,302.4853135,8.693846668
K06209.01,Candidate,12.71422376,0.1074,2MASS J19374656+4620095,9.885491525,5947,302.4853135,8.693846668
K06209.02,Candidate,7.72955243,0.0771,2MASS J19374656+4620095,9.885491525,5947,302.4853135,8.693846668
K06242.01,Candidate,212.4350367,16.13423714,2MASS J19160905+4942453,9.885491525,5688.237937,302.4853135,8.693846668
K06242.02,Candidate,76.83994597,16.13423714,2MASS J19160905+4942453,9.885491525,5688.237937,302.4853135,8.693846668
K06242.03,Candidate,78.86684,0.3908,2MASS J19160905+4942453,9.885491525,5688.237937,302.4853135,8.693846668
K06259.01,Candidate,4.78111626,0.0548,2MASS J19271509+3733211,9.885491525,5683,302.4853135,8.693846668
K06259.02,Candidate,7.1884725,0.072,2MASS J19271509+3733211,9.885491525,5683,302.4853135,8.693846668
K06355.01,Candidate,4.37198245,0.0515,2MASS J19274405+3849379,9.885491525,5823,302.4853135,8.693846668
K06355.02,Candidate,6.72876606,0.0686,2MASS J19274405+3849379,9.885491525,5823,302.4853135,8.693846668
K06516.01,Candidate,11.2901559,0.0849,2MASS J19192256+4015458,9.885491525,5025,302.4853135,8.693846668
K06516.02,Candidate,28.24753303,16.13423714,2MASS J19192256+4015458,9.885491525,5025,302.4853135,8.693846668
K07117.01,Candidate,8.2927558,0.0807,2MASS J19360188+4513577,9.885491525,6146,302.4853135,8.693846668
K07117.02,Candidate,22.786522,0.1584,2MASS J19360188+4513577,9.885491525,6146,302.4853135,8.693846668
K2-266 Af,Candidate,6.1002,0.05658,K2-266 A,9.885491525,4362,77.5586,0.571561954
K2-266 Ag,Candidate,56.682,0.2501,K2-266 A,9.885491525,4362,77.5586,0.571561954
K2-38 B,Candidate,3286.203561,265,K2-38,11.4,5705,192.69,0.874416519
K2-38 d,Candidate,753,16.13423714,K2-38,11.4,5705,192.69,0.874416519
Kepler-160 e,Candidate,29,16.13423714,Kepler-160,9.885491525,5471,962.92,88.10160173
Kepler-879 c,Candidate,0.646716,0.0147,Kepler-879,9.885491525,5644,802.672,61.21806764
KOI-1151.04,Candidate,17.4532952,0.1233,Kepler-271 A,13.58,5645.65,404.542,0.517520115
KOI-1151.05,Candidate,21.7202824,0.1427,Kepler-271 A,13.58,5645.65,404.542,0.517520115
KOI-1338.02,Candidate,42.0370662,0.2285,Kepler-822,9.885491525,5928,956,86.83987195
KOI-1338.03,Candidate,21.0112068,0.1439,Kepler-822,9.885491525,5928,956,86.83987195
KOI-1522.02,Candidate,12.654896,0.1,Kepler-879,9.885491525,5644,802.672,61.21806764
KOI-1574.03,Candidate,5.83392471,0.063,Kepler-87,15,5600,1277.88,1.396304527
KOI-1574.04,Candidate,8.9771991,0.0836,Kepler-87,15,5600,1277.88,1.396304527
KOI-1613.02,Candidate,94.093962,0.405,Kepler-907 A,9.885491525,6106,352,11.77304264
KOI-1613.03,Candidate,20.605501,0.1459,Kepler-907 A,9.885491525,6106,352,11.77304264
KOI-205.02,Candidate,4.8126,0.052,Kepler-492,9.885491525,5527,642,39.16277396
KOI-205 c,Candidate,4.8126,0.052,Kepler-492,9.885491525,5527,642,39.16277396
KOI-2433.04,Candidate,27.90426394,16.13423714,Kepler-385,9.885491525,6326,1493.94,212.0653438
KOI-2433.06,Candidate,6.0632531,16.13423714,Kepler-385,9.885491525,6326,1493.94,212.0653438
KOI-2433.07,Candidate,86.43086179,16.13423714,Kepler-385,9.885491525,6326,1493.94,212.0653438
KOI-2433.08,Candidate,3.37375965,16.13423714,Kepler-385,9.885491525,6326,1493.94,212.0653438
KOI-353.01,Candidate,152.1059397,0.6113,Kepler-1717,9.885491525,6591.89,1008.79,96.6952024
KOI-353.03,Candidate,11.1622285,0.1071,Kepler-1717,9.885491525,6591.89,1008.79,96.6952024
KOI-416.03,Candidate,9.74765878,0.0834,Kepler-152,14.41,5050,441.09,0.286453692
KOI-416.04,Candidate,31.5322987,0.182,Kepler-152,14.41,5050,441.09,0.286453692
KOI-4246.02,Candidate,8.75630628,0.0844,Kepler-1576,9.885491525,5674.51,460.91,20.18532059
KOI-4246.03,Candidate,5.55842,0.0614,Kepler-1576,9.885491525,5674.51,460.91,20.18532059
KOI-4302.01,Candidate,5.53312006,0.0622,KOI-4302,9.885491525,6065,978.703,91.013377
KOI-4302.02,Candidate,3.422508,0.0463,KOI-4302,9.885491525,6065,978.703,91.013377
KOI-4524.02,Candidate,4.5262415,0.0523,Kepler-1962,9.885491525,5766,866.826,71.39490966
KOI-4524.03,Candidate,3.33928642,0.0427,Kepler-1962,9.885491525,5766,866.826,71.39490966
KOI-456.04,Candidate,378.417,16.13423714,Kepler-160,9.885491525,5471,962.92,88.10160173
KOI-521.02,Candidate,10.8206034,0.0958,Kepler-1989 A,14.29,5953,1252.13,2.578094557
KOI-750.02,Candidate,5.04414507,0.0468,Kepler-662,9.885491525,4897,641,39.04086657
KOI-750.03,Candidate,14.5168147,0.0946,Kepler-662,9.885491525,4897,641,39.04086657
KOI-972.01,Candidate,13.11896676,0.1376,KOI-972,9.4,7800,227,7.656877771
KOI-972.02,Candidate,7.821931,0.0975,KOI-972,9.4,7800,227,7.656877771
LkCa 15 b,Candidate,40000,15.7,LkCa 15,12.03,4306.39,160,0.337473725
LkCa 15 c,Candidate,3286.203561,18.6,LkCa 15,12.03,4306.39,160,0.337473725
LkCa 15 d,Candidate,3286.203561,24.7,LkCa 15,12.03,4306.39,160,0.337473725
LoTr 5 Ab,Candidate,129.8,0.518,LoTr 5 A,8.88,5410,498.798,59.68282984
LoTr 5 Ac,Candidate,5.96675,0.0665,LoTr 5 A,8.88,5410,498.798,59.68282984
MWC 480 b,Candidate,3286.203561,78,MWC 480,7.62,8460,161.8,20.04273732
MWC 480 c,Candidate,3286.203561,245,MWC 480,7.62,8460,161.8,20.04273732
ome2 Sco b,Candidate,4405.192718,5.265,ome2 Sco,4.33,5313,91.9469,133.9905541
ome2 Sco c,Candidate,421.9248873,1.101,ome2 Sco,4.33,5313,91.9469,133.9905541
