planet_name,planet_status,orbital_period,semi_major_axis,star_name,mag_v,star_teff,star_distance,referenced_planet,harmonic_ratio,luminosity
HD 5278 Ab,Confirmed,14.33902,0.12,HD 5278 A,8,6203,56.12,,,0.053951062
HD 5278 Ac,Confirmed,40.87,0.2416,HD 5278 A,8,6203,56.12,,,0.053951062
HD 5319 b,Confirmed,675,1.75,HD 5319,8.05,5052,100,,,0.051522864
HD 5319 c,Confirmed,886,2.071,HD 5319,8.05,5052,100,,,0.051522864
HD 63433 b,Confirmed,7.1079477,0.0719,HD 63433,7,5640,22.42,,,0.135518941
HD 63433 c,Confirmed,20.54383,0.1458,HD 63433,7,5640,22.42,,,0.135518941
HD 63433 d,Confirmed,4.209075,0.0503,HD 63433,7,5640,22.42,,,0.135518941
HD 63935 b,Confirmed,9.058807,0.083,HD 63935,8.58,5534,48.8,,,0.031622777
HD 63935 c,Confirmed,21.4027,0.148,HD 63935,8.58,5534,48.8,,,0.031622777
HD 69830 b,Confirmed,8.6682,0.0785,HD 69830,5.95,5385,12.6,,,0.356451133
HD 69830 c,Confirmed,31.601,0.186,HD 69830,5.95,5385,12.6,,,0.356451133
HD 69830 d,Confirmed,200.57,0.63,HD 69830,5.95,5385,12.6,,,0.356451133
HD 73344 b,Confirmed,15.604,0.1296,HD 73344,6.5,6460,35.24,,,0.214783047
HD 73344 c,Confirmed,66.936,0.343,HD 73344,6.5,6460,35.24,,,0.214783047
HD 73344 d,Confirmed,5823,6.7,HD 73344,6.5,6460,35.24,,,0.214783047
HD 73526 b,Confirmed,188.9,0.65,HD 73526,9,5590,99,,,0.021478305
HD 73526 c,Confirmed,379.1,1.03,HD 73526,9,5590,99,,,0.021478305
HD 73583 Ab,Confirmed,6.398042,0.0604,HD 73583 A,9.67,4511,31.6,,,0.011587774
HD 73583 Ac,Confirmed,18.8805,0.1233,HD 73583 A,9.67,4511,31.6,,,0.011587774
HD 7924 b,Confirmed,5.39792,0.05664,HD 7924,7.185,5177,16.8,,,0.114287833
HD 7924 c,Confirmed,15.299,0.1134,HD 7924,7.185,5177,16.8,,,0.114287833
HD 7924 d,Confirmed,24.451,0.1551,HD 7924,7.185,5177,16.8,,,0.114287833
HD 82943 b,Confirmed,442.4,1.19,HD 82943,6.54,5874,27.46,,,0.207014135
HD 82943 c,Confirmed,219.3,0.746,HD 82943,6.54,5874,27.46,,,0.207014135
HD 82943 d,Confirmed,1078,2.145,HD 82943,6.54,5874,27.46,,,0.207014135
HD 93385 Ab,Confirmed,7.3426,0.0756,HD 93385 A,7.49,5971.87,43.3475,,,0.086297855
HD 93385 Ac,Confirmed,13.18,0.112,HD 93385 A,7.49,5971.87,43.3475,,,0.086297855
HD 93385 Ad,Confirmed,46.025,0.257,HD 93385 A,7.49,5971.87,43.3475,,,0.086297855
HD 93963 A b,Confirmed,1.0391353,0.02085,HD 93963 A,11.2837463,5987,82.34,,,0.002621208
HD 93963 A c,Confirmed,3.6451398,0.04813,HD 93963 A,11.2837463,5987,82.34,,,0.002621208
HD 9446 b,Confirmed,30.0608,0.1892,HD 9446,8.35,5793,53,,,0.03908409
HD 9446 c,Confirmed,189.6,0.646,HD 9446,8.35,5793,53,,,0.03908409
HD 96700 Ab,Confirmed,8.1245,0.0777,HD 96700 A,6.5,5847,25.6,,,0.214783047
HD 96700 Ac,Confirmed,19.88,0.141,HD 96700 A,6.5,5847,25.6,,,0.214783047
