planet_name,semi_major_axis,star_distance,star_temperature,mag_v,absolute_magnitude,luminosity
GJ 3988 b,0.0405,9.9081,3273.0,12.0,12.020048094187045,0.001330395484964552
GJ 3998 b,0.029,17.8,3722.0,10.8,9.54789998845553,0.012967014742885665
GJ 3998 c,0.089,17.8,3722.0,10.8,9.54789998845553,0.012967014742885665
GJ 4001 b,6.6,22.5,3770.0,10.58,8.819087409443188,0.025372603702380644
GJ 414 Ab,0.24,11.893,4120.0,8.9,8.523542905583488,0.033310629327923155
GJ 414 Ac,1.43,11.893,4120.0,8.9,8.523542905583488,0.033310629327923155
GJ 4276 b,0.082,21.35,3387.0,12.0,10.353010603194786,0.006177258259113807
GJ 4276 c,0.052,21.35,3387.0,12.0,10.353010603194786,0.006177258259113807
GJ 433 b,0.062,9.04,3600.0,9.79,10.009157847623182,0.008478848218611336
GJ 433 c,4.692,9.04,3600.0,9.79,10.009157847623182,0.008478848218611336
GJ 433 d,0.178,9.04,3600.0,9.79,10.009157847623182,0.008478848218611336
GJ 436 b,0.02887,10.2,3684.0,10.68,10.636999141190412,0.00475554552475316
GJ 463 b,3.53,18.365,3540.0,13.5,12.180045336593437,0.0011481056795686825
GJ 480 b,0.068,14.236,3381.0,11.5,10.733060103340959,0.004352872622687262
GJ 486 b,0.01734,8.0761,3340.0,11.4,11.86399156083905,0.0015360430076237963
GJ 504  b,43.5,17.56,6291.0,5.22,3.9973774421495802,2.1530247543385066
GJ 569 Bb,0.89,9.81,2500.0,10.15,10.191654963100257,0.007167010071401415
GJ 570 D,1500.0,5.91,4758.0,5.64,6.782062595593723,0.1656437148536836
GJ 581 b,0.041,6.21,3498.0,10.55,11.5845419991171,0.0019869328972515286
GJ 581 c,0.074,6.21,3498.0,10.55,11.5845419991171,0.0019869328972515286
GJ 581 e,0.029,6.21,3498.0,10.55,11.5845419991171,0.0019869328972515286
GJ 595 b,0.22,18.8261,3374.0,11.85,10.476198193837309,0.0055146851520607755
GJ 625 b,0.078399,6.49,3499.0,10.17,11.108776515998153,0.00307956513102299
GJ 649 b,1.135,10.34,3700.0,9.7,9.62739730621038,0.012051499234547854
GJ 649 c,0.043,10.34,3700.0,9.7,9.62739730621038,0.012051499234547854
GJ 660.1 Ab,1.116,23.113,3800.0,11.6,9.780718403524657,0.010464359193851889
GJ 667 Cb,0.0505,6.84,3600.0,10.22,11.04471949139942,0.0032667221964192885
GJ 667 Cc,0.125,6.84,3600.0,10.22,11.04471949139942,0.0032667221964192885
GJ 667 Ce,0.213,6.84,3600.0,10.22,11.04471949139942,0.0032667221964192885
GJ 667 Cf,0.156,6.84,3600.0,10.22,11.04471949139942,0.0032667221964192885
GJ 667 Cg,0.549,6.84,3600.0,10.22,11.04471949139942,0.0032667221964192885
GJ 674 b,0.039,4.54,3600.0,9.38,11.094720735714482,0.0031196919028267708
GJ 685 b,0.1344,14.42,3816.0,10.0,9.205173698082948,0.017779949403707477
GJ 687 b,0.163,4.5,3413.0,9.15,10.883937431123282,0.0037881313342407416
GJ 687 c,1.165,4.5,3413.0,9.15,10.883937431123282,0.0037881313342407416
GJ 720 Ab,0.119,15.557,3837.0,10.0,9.04037074144282,0.02069434587639625
GJ 724 b,0.04685,16.9949,3799.0,10.0,8.84840693256729,0.024696603369594478
GJ 747 b,2.78,14.96728,3375.0,11.26,10.384285583562368,0.006001858697699614
GJ 752 Ab,0.3357,5.9116,3557.0,9.115,10.256474797685414,0.006751652490424911
GJ 758 b,33.0,15.5,5425.0,6.36,5.408341509148543,0.5870341902847266
GJ 777 Ab,3.9,16.0069,5549.0,5.74,4.718463841107226,1.108190603908382
GJ 777 Ac,0.128,16.0069,5549.0,5.74,4.718463841107226,1.108190603908382
GJ 777 Ad,0.3947,16.0069,5549.0,5.74,4.718463841107226,1.108190603908382
