planet_name,planet_status,orbital_period,semi_major_axis,star_name,mag_v,star_teff,star_distance,referenced_planet,harmonic_ratio,luminosity,habitable_zone_status,HZ_distance_recent_venus,HZ_distance_runaway_greenhouse,HZ_distance_maximum_greenhouse,HZ_distance_early_mars,stellar_flux_recent_venus,stellar_flux_runaway_greenhouse,stellar_flux_maximum_greenhouse,stellar_flux_early_mars
2MASS J19532486+4149122 b,Aschwaden Prediction,4.905795267,0.05209079,2MASS J19532486+4149122,11.57451405,5676.0,24949.97293,K02840.01,4 to 3,0.002005369,Conservative HZ,0.03390897568964677,0.04282743550790605,0.07573715317172282,0.07988384364338708,1.744074190163284,1.0933272122704238,0.34960396031945723,0.3142507994535236
2MASS J19532486+4149122 c,Aschwaden Prediction,9.198366125,0.079206677,2MASS J19532486+4149122,11.57451405,5676.0,24949.97293,K02840.01,5 to 2,0.002005369,Optimistic HZ,0.03390897568964677,0.04282743550790605,0.07573715317172282,0.07988384364338708,1.744074190163284,1.0933272122704238,0.34960396031945723,0.3142507994535236
2MASS J19532486+4149122 b,Aschwaden Prediction,11.03803935,0.089443604,2MASS J19532486+4149122,11.57451405,5676.0,24949.97293,K02840.01,3 to 1,0.002005369,Not in HZ,0.03390897568964677,0.04282743550790605,0.07573715317172282,0.07988384364338708,1.744074190163284,1.0933272122704238,0.34960396031945723,0.3142507994535236
2MASS J19534063+4504172 b,Aschwaden Prediction,4.54098176,0.043653529,2MASS J19534063+4504172,11.57451405,4671.0,24949.97293,K02421.01,2 to 1,0.002005369,Not in HZ,0.03569675848117252,0.04507246157132609,0.0827075548202768,0.08723449456968693,1.5737535955482038,0.9871240722985273,0.2931594742703972,0.26352255879626396
2MASS J19534063+4504172 c,Aschwaden Prediction,3.40573632,0.036035194,2MASS J19534063+4504172,11.57451405,4671.0,24949.97293,K02421.01,3 to 2,0.002005369,Not in HZ,0.03569675848117252,0.04507246157132609,0.0827075548202768,0.08723449456968693,1.5737535955482038,0.9871240722985273,0.2931594742703972,0.26352255879626396
2MASS J19534063+4504172 b,Aschwaden Prediction,3.784151467,0.03865733,2MASS J19534063+4504172,11.57451405,4671.0,24949.97293,K02421.01,5 to 3,0.002005369,Not in HZ,0.03569675848117252,0.04507246157132609,0.0827075548202768,0.08723449456968693,1.5737535955482038,0.9871240722985273,0.2931594742703972,0.26352255879626396
2MASS J19534063+4504172 c,Aschwaden Prediction,2.8381136,0.031910923,2MASS J19534063+4504172,11.57451405,4671.0,24949.97293,K02421.01,5 to 4,0.002005369,Not in HZ,0.03569675848117252,0.04507246157132609,0.0827075548202768,0.08723449456968693,1.5737535955482038,0.9871240722985273,0.2931594742703972,0.26352255879626396
2MASS J19534063+4504172 b,Aschwaden Prediction,3.027321173,0.033313878,2MASS J19534063+4504172,11.57451405,4671.0,24949.97293,K02421.01,4 to 3,0.002005369,Not in HZ,0.03569675848117252,0.04507246157132609,0.0827075548202768,0.08723449456968693,1.5737535955482038,0.9871240722985273,0.2931594742703972,0.26352255879626396
2MASS J19534063+4504172 c,Aschwaden Prediction,5.6762272,0.050655433,2MASS J19534063+4504172,11.57451405,4671.0,24949.97293,K02421.01,5 to 2,0.002005369,Conservative HZ,0.03569675848117252,0.04507246157132609,0.0827075548202768,0.08723449456968693,1.5737535955482038,0.9871240722985273,0.2931594742703972,0.26352255879626396
2MASS J19534063+4504172 b,Aschwaden Prediction,6.81147264,0.057202305,2MASS J19534063+4504172,11.57451405,4671.0,24949.97293,K02421.01,3 to 1,0.002005369,Conservative HZ,0.03569675848117252,0.04507246157132609,0.0827075548202768,0.08723449456968693,1.5737535955482038,0.9871240722985273,0.2931594742703972,0.26352255879626396
2MASS J19541844+4437178 b,Aschwaden Prediction,8.65699072,0.087783278,2MASS J19541844+4437178,11.57451405,6070.0,24949.97293,K03111.01,2 to 1,0.002005369,Not in HZ,0.033105788974087585,0.04181812662630742,0.07322963885380078,0.07723895790225782,1.82972748702743,1.1467404985918899,0.3739560057864251,0.336140998428909
2MASS J19541844+4437178 c,Aschwaden Prediction,6.49274304,0.0724635,2MASS J19541844+4437178,11.57451405,6070.0,24949.97293,K03111.01,3 to 2,0.002005369,Conservative HZ,0.033105788974087585,0.04181812662630742,0.07322963885380078,0.07723895790225782,1.82972748702743,1.1467404985918899,0.3739560057864251,0.336140998428909
2MASS J19541844+4437178 b,Aschwaden Prediction,7.214158933,0.077736377,2MASS J19541844+4437178,11.57451405,6070.0,24949.97293,K03111.01,5 to 3,0.002005369,Not in HZ,0.033105788974087585,0.04181812662630742,0.07322963885380078,0.07723895790225782,1.82972748702743,1.1467404985918899,0.3739560057864251,0.336140998428909
2MASS J19541844+4437178 c,Aschwaden Prediction,5.4106192,0.064169966,2MASS J19541844+4437178,11.57451405,6070.0,24949.97293,K03111.01,5 to 4,0.002005369,Conservative HZ,0.033105788974087585,0.04181812662630742,0.07322963885380078,0.07723895790225782,1.82972748702743,1.1467404985918899,0.3739560057864251,0.336140998428909
2MASS J19541844+4437178 b,Aschwaden Prediction,5.771327147,0.066991179,2MASS J19541844+4437178,11.57451405,6070.0,24949.97293,K03111.01,4 to 3,0.002005369,Conservative HZ,0.033105788974087585,0.04181812662630742,0.07322963885380078,0.07723895790225782,1.82972748702743,1.1467404985918899,0.3739560057864251,0.336140998428909
2MASS J19541844+4437178 c,Aschwaden Prediction,10.8212384,0.101863471,2MASS J19541844+4437178,11.57451405,6070.0,24949.97293,K03111.01,5 to 2,0.002005369,Not in HZ,0.033105788974087585,0.04181812662630742,0.07322963885380078,0.07723895790225782,1.82972748702743,1.1467404985918899,0.3739560057864251,0.336140998428909
2MASS J19541844+4437178 b,Aschwaden Prediction,12.98548608,0.115028635,2MASS J19541844+4437178,11.57451405,6070.0,24949.97293,K03111.01,3 to 1,0.002005369,Not in HZ,0.033105788974087585,0.04181812662630742,0.07322963885380078,0.07723895790225782,1.82972748702743,1.1467404985918899,0.3739560057864251,0.336140998428909
2MASS J19550200+4109355 b,Aschwaden Prediction,12.69456858,0.101752407,2MASS J19550200+4109355,11.57451405,5472.0,24949.97293,K03029.01,2 to 1,0.002005369,Not in HZ,0.03431570761368996,0.043338393476465155,0.07711277662762729,0.08133470729113706,1.7029754199160378,1.0676986178608205,0.33724196777616455,0.3031394658295437
