planet_name,semi_major_axis,star_distance,star_temperature,mag_v
FLMN J0541501-0151180,,415,,
FLMN J0541506-0153064,,415,,
FLMN J0541506-0158041,,415,,
FLMN J0541514-0152408,,415,,
FLMN J0541528-0150162,,415,,
FLMN J0541537-0157503,,415,,
FLMN J0541547-0151461,,415,,
FN Lyr b,1.88,3026.25,6745,12.73
FS Aur (AB)b,1.68,567.8,10000,16.08
FU Tau b,719,126.4,2838,
G 123-45 b,0.126519,25.70666,3153,13.73
G 124-62 Ba,1500,35.74,3462,12.43
G 124-62 Bb,12.7,35.74,3462,12.43
G 15-6 b,0.828,71.2592,5601,
G 165-52 b,0.479,44.168,3949.84,
G 178-27 b,0.4046,223.409,6446,11.18
G 190-10 b,0.186,142.886732,5062.8,11.27
G192.32-11.88 b,8975,380,,
G 194-47 (AB)b,5700,32.81428,3271,13.34
G 196-3 b,,21.805,3400,11.75
G 203-50 b,135,21.2084,3112,15.82
G 204-39 b,2685,13.9908,,11.64
G 264-012 b,0.02279,15.986,3326,12
G 264-012 c,0.0525,15.986,3326,12
G 65-52 b,0.519,144.754738,5681.68,12.2
G 73-59 b,550,77.685,,15.72
G 9-40 b,0.0418,27.93,3348,13.8
Gaia14aae b,,258,,18
Gaia-1 b,0.04047,368.3,5370,13.2
Gaia22dkv b,1.63,1350,,
Gaia-2 b,0.0467,207.2,5720,11.3
Gaia-3 Ab,0.799,35.37,4300,
Gaia-4 b,,,,12.46296649
Gaia-5 b,,,,14.2433148
Gaia EDR3 2077240046296834304 b,0.032,1000,4410,
GALEX 0718+3731 b,0.000834,85,42065,
gamma1 Leo b,1.19,38.5,4330,2.01
gamma Cephei Ab,2.1459,13.79,4800,3.22
gamma Lib b,1.2397,50.2,4822,3
gamma Lib c,2.1761,50.2,4822,3
gam Psc b,1.32,,,
GD 165 b,123,33.3753,12130,14.32
GD 552 b,0.00288,105,10900,16.5
GG Tau Bb,14,150,2740,
GJ 1001 B,180,12.3067,3281,12.84
GJ 1001 C,0.8,12.3067,,
GJ 1002 b,0.0457,4.846,,14
GJ 1002 c,0.0738,4.846,,14
GJ 1018 b,0.0559,22.075,3433,12.7
GJ 1046 b,0.457,15.1907,3461,11.6
GJ 1048 b,250,21.2059,4877.6,8.34
GJ 1061 b,0.021,3.6732,2953,13
GJ 1061 c,0.035,3.6732,2953,13
GJ 1061 d,0.052,3.6732,2953,13
GJ 1132 b,0.0154,12.04,3270,13.5
GJ 1132 c,0.0476,12.04,3270,13.5
GJ 1214 b,0.01411,13,3026,14.71
GJ 1245 Ab,1.93,4.69134,2865,13.126
GJ 1252 b,0.00916,20.38,3458,12
GJ 1265 b,0.026,10.255,3236,13.7
GJ 1289 b,0.27,8.86,3175,12.67
GJ 143 b,0.1932,16.33,4640,8.3
GJ 143 c,0.0695,16.33,4640,8.3
