planet_name,planet_status,orbital_period,semi_major_axis,star_name,mag_v,star_teff,star_distance,luminosity
Kepler-125 c,Confirmed,5.774464,0.051,Kepler-125,10.81796395,3810,184.34,1.367897601
Kepler-1266 b,Confirmed,28.474748,23.20727704,Kepler-1266,10.81796395,5004,849.312,29.03681263
Kepler-1266 c,Confirmed,4.86631012,0.052,Kepler-1266,10.81796395,5004,849.312,29.03681263
Kepler-126 b,Confirmed,10.495711,0.099,Kepler-126,10.81796395,6239,239.03,2.2999545
Kepler-126 c,Confirmed,21.869741,0.162,Kepler-126,10.81796395,6239,239.03,2.2999545
Kepler-126 d,Confirmed,100.283134,0.448,Kepler-126,10.81796395,6239,239.03,2.2999545
Kepler-127 b,Confirmed,14.435889,0.125,Kepler-127,10.81796395,6106,356.41,5.113451995
Kepler-127 c,Confirmed,29.393195,0.2,Kepler-127,10.81796395,6106,356.41,5.113451995
Kepler-127 d,Confirmed,48.630408,0.28,Kepler-127,10.81796395,6106,356.41,5.113451995
Kepler-128 b,Confirmed,15.09,23.20727704,Kepler-128,11.4,6013,400.93,3.78562079
Kepler-128 c,Confirmed,22.804,23.20727704,Kepler-128,11.4,6013,400.93,3.78562079
Kepler-129 b,Confirmed,15.79186,0.131,Kepler-129,10.81796395,5770,413.68,6.888798333
Kepler-129 c,Confirmed,82.20017,0.393,Kepler-129,10.81796395,5770,413.68,6.888798333
Kepler-129 d,Confirmed,1935.571324,3.2611,Kepler-129,10.81796395,5770,413.68,6.888798333
Kepler-130 Ab,Confirmed,8.45746707,0.0792,Kepler-130 A,10.81796395,5958,316.663,4.036538186
Kepler-130 Ac,Confirmed,27.50868,0.1739,Kepler-130 A,10.81796395,5958,316.663,4.036538186
Kepler-130 Ad,Confirmed,87.517905,0.37615,Kepler-130 A,10.81796395,5958,316.663,4.036538186
Kepler-1311 b,Confirmed,11.1726994,23.20727704,Kepler-1311,13.475,5719,866.331,2.614373966
Kepler-1311 c,Confirmed,2.53573424,23.20727704,Kepler-1311,13.475,5719,866.331,2.614373966
Kepler-1311 d,Confirmed,197.5110016,0.6711,Kepler-1311,13.475,5719,866.331,2.614373966
Kepler-1312 b,Confirmed,5.44832529,23.20727704,Kepler-1312,12.491,5602.86,299.104,0.771337493
Kepler-1312 c,Confirmed,1.116119981,0.0209,Kepler-1312,12.491,5602.86,299.104,0.771337493
Kepler-1315 b,Confirmed,0.84338011,23.20727704,Kepler-1315,10.81796395,4861,505,10.26590351
Kepler-1315 c,Confirmed,6.566060066,0.064,Kepler-1315,10.81796395,4861,505,10.26590351
Kepler-131 b,Confirmed,16.092,23.20727704,Kepler-131,11.525,5685,230.19,1.11217443
Kepler-131 c,Confirmed,25.5169,23.20727704,Kepler-131,11.525,5685,230.19,1.11217443
Kepler-1321 b,Confirmed,11.12830484,23.20727704,Kepler-1321,10.81796395,4034,769.146,23.81398047
Kepler-1321 c,Confirmed,2.22649109,23.20727704,Kepler-1321,10.81796395,4034,769.146,23.81398047
Kepler-1321 d,Confirmed,5.720920086,0.0501,Kepler-1321,10.81796395,4034,769.146,23.81398047
Kepler-1322 b,Confirmed,0.96286738,23.20727704,Kepler-1322,15.876,5425,1350.32,0.695782338
Kepler-1322 c,Confirmed,6.459980011,0.0652,Kepler-1322,15.876,5425,1350.32,0.695782338
Kepler-132 Ab,Confirmed,6.17817366,0.0643,Kepler-132 A,11.92,5931,296.24,1.280228226
Kepler-132 Ac,Confirmed,6.41491277,0.0659,Kepler-132 A,11.92,5931,296.24,1.280228226
Kepler-132 Ad,Confirmed,18.01019956,0.1312,Kepler-132 A,11.92,5931,296.24,1.280228226
Kepler-132 Ae,Confirmed,110.2867031,0.4393,Kepler-132 A,11.92,5931,296.24,1.280228226
Kepler-1336 b,Confirmed,23.198681,23.20727704,Kepler-1336,10.81796395,5512,822,27.19932063
Kepler-1336 c,Confirmed,5.77721211,23.20727704,Kepler-1336,10.81796395,5512,822,27.19932063
Kepler-133 b,Confirmed,8.129976,0.083,Kepler-133,10.81796395,5736,665.37,17.82136039
Kepler-133 c,Confirmed,31.517586,0.204,Kepler-133,10.81796395,5736,665.37,17.82136039
Kepler-134 b,Confirmed,5.317429,0.06,Kepler-134,10.81796395,5983,338.05,4.600195641
Kepler-134 c,Confirmed,10.105785,0.092,Kepler-134,10.81796395,5983,338.05,4.600195641
Kepler-1350 b,Confirmed,4.4968604,23.20727704,Kepler-1350,10.81796395,3827,350,4.931176079
Kepler-1350 c,Confirmed,1.76678906,23.20727704,Kepler-1350,10.81796395,3827,350,4.931176079
Kepler-135 b,Confirmed,6.00253,0.067,Kepler-135,10.81796395,6090,632.99,16.12902517
Kepler-135 c,Confirmed,11.448708,0.103,Kepler-135,10.81796395,6090,632.99,16.12902517
Kepler-1365 b,Confirmed,7.69993485,23.20727704,Kepler-1365,10.81796395,5770,541,11.78172691
Kepler-1365 c,Confirmed,4.77468005,23.20727704,Kepler-1365,10.81796395,5770,541,11.78172691
Kepler-136 Ab,Confirmed,11.57890926,0.1062,Kepler-136 A,11.82,6187.46,420.818,2.832621949
Kepler-136 Ac,Confirmed,16.39926461,0.134,Kepler-136 A,11.82,6187.46,420.818,2.832621949
Kepler-1370 b,Confirmed,20.2641684,23.20727704,Kepler-1370,10.81796395,6202,878,31.0315489
Kepler-1370 c,Confirmed,7.44142113,23.20727704,Kepler-1370,10.81796395,6202,878,31.0315489
